   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _posixshmem.shm_open}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       45    0.000    0.000    0.000    0.000 {built-in method select.poll}
        3    0.000    0.000    0.000    0.000 threading.py:1047(_delete)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       11    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      5/4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
        2    0.000    0.000    0.000    0.000 threading.py:1134(is_alive)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.000    0.000 context.py:115(Pool)
        8    0.000    0.000    0.000    0.000 process.py:153(is_alive)
        2    0.000    0.000    0.003    0.002 process.py:142(join)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:183(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:398(notify)
      5/4    0.000    0.000    0.001    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:439(spawnv_passfds)
        1    0.000    0.000   20.691   20.691 pool.py:573(_handle_results)
       49    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 threading.py:1427(current_thread)
        8    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:306(_args_from_interpreter_flags)
      5/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1020(exec_module)
        1    0.000    0.000   20.704   20.704 pool.py:671(_help_stuff_finish)
        4    0.000    0.000    0.000    0.000 threading.py:592(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:620(set)
        3    0.000    0.000    0.001    0.000 context.py:110(SimpleQueue)
        8    0.000    0.000    0.000    0.000 threading.py:306(__exit__)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'mmap.mmap' objects}
        1    0.000    0.000    0.000    0.000 shared_memory.py:225(close)
        1    0.000    0.000    0.000    0.000 pool.py:745(ApplyResult)
        6    0.000    0.000    0.000    0.000 tempfile.py:153(__next__)
        9    0.000    0.000    0.000    0.000 pool.py:385(_guarded_task_generation)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        3    0.000    0.000    0.000    0.000 threading.py:1160(daemon)
      3/1    0.000    0.000   20.691   20.691 threading.py:998(_bootstrap)
        1    0.000    0.000    0.000    0.000 pool.py:747(__init__)
        1    0.000    0.000    0.000    0.000 queues.py:33(Queue)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x713d50fa6ac0}
        6    0.000    0.000    0.000    0.000 {built-in method posix.kill}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        3    0.000    0.000    0.000    0.000 threading.py:1056(join)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.001    0.000 queues.py:359(__init__)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        7    0.000    0.000    0.000    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        3    0.000    0.000    0.000    0.000 connection.py:533(Pipe)
        2    0.000    0.000    0.000    0.000 signal.py:69(pthread_sigmask)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        7    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
        6    0.000    0.000    0.000    0.000 weakref.py:164(__setitem__)
        8    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        6    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
        2    0.000    0.000    0.000    0.000 queues.py:383(get)
        1    0.000    0.000    0.000    0.000 shared_memory.py:238(unlink)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       45    0.000    0.000    0.000    0.000 selectors.py:63(__init__)
        6    0.000    0.000    0.000    0.000 popen_fork.py:57(terminate)
       30    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 threading.py:843(_newname)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        6    0.000    0.000    0.000    0.000 process.py:128(terminate)
       23    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       33    0.000    0.000    0.000    0.000 util.py:48(debug)
        8    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
        6    0.000    0.000    0.000    0.000 util.py:163(register_after_fork)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       35    0.000    0.000    0.000    0.000 connection.py:139(_check_readable)
        6    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
        1    0.000    0.000    0.000    0.000 connection.py:115(_ConnectionBase)
       45    0.000    0.000    0.000    0.000 selectors.py:203(__enter__)
     11/8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 pool.py:161(__delitem__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       13    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 pool.py:796(__init__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        7    0.000    0.000    0.000    0.000 synchronize.py:97(__exit__)
        4    0.000    0.000    0.000    0.000 threading.py:428(notify_all)
        8    0.000    0.000    0.000    0.000 threading.py:303(__enter__)
        6    0.000    0.000    0.000    0.000 popen_fork.py:47(_send_signal)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        2    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
       37    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 {built-in method posix.ftruncate}
        3    0.000    0.000    0.000    0.000 {method 'join' of '_thread._ThreadHandle' objects}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
       48    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _signal.pthread_sigmask}
        6    0.000    0.000    0.000    0.000 synchronize.py:168(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
        3    0.000    0.000    0.000    0.000 threading.py:1265(_make_invoke_excepthook)
        6    0.000    0.000    0.000    0.000 connection.py:118(__init__)
       37    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.fstat}
        8    0.000    0.000    0.000    0.000 __init__.py:146(_DType_reduce)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       48    0.000    0.000    0.000    0.000 {built-in method math.floor}
        2    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        1    0.000    0.000    0.017    0.017 pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        2    0.000    0.000    0.000    0.000 connection.py:208(recv_bytes)
        2    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        6    0.000    0.000    0.000    0.000 weakref.py:352(__init__)
        1    0.000    0.000    0.000    0.000 synchronize.py:370(Barrier)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:315(_acquire_restore)
       15    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.000    0.000 signal.py:24(_int_to_enum)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       16    0.000    0.000    0.000    0.000 process.py:189(name)
        8    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        7    0.000    0.000    0.000    0.000 {method '__exit__' of '_multiprocessing.SemLock' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       21    0.000    0.000    0.000    0.000 connection.py:143(_check_writable)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        8    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        2    0.000    0.000    0.003    0.002 popen_fork.py:37(wait)
        6    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 pool.py:921(ThreadPool)
